,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.3333333333333333,0.5266666666666666,0.4080769230769231,5.4,0.5266666666666667
2,1,0.7690909090909092,0.6555555555555556,0.6854621848739496,9.4,0.5266666666666667
3,accuracy,0.619047619047619,0.619047619047619,0.619047619047619,0.619047619047619,0.5266666666666667
4,macro avg,0.5512121212121212,0.591111111111111,0.5467695539754363,14.8,0.5266666666666667
5,weighted avg,0.6127965367965368,0.619047619047619,0.5908575737987503,14.8,0.5266666666666667
6,-,-,-,-,-,-
7,0,0.4583333333333333,0.37333333333333335,0.3538461538461538,5.4,0.37333333333333335
8,1,0.7123987123987124,0.7844444444444444,0.7323826500297088,9.4,0.37333333333333335
9,accuracy,0.6342857142857142,0.6342857142857142,0.6342857142857142,0.6342857142857142,0.37333333333333335
10,macro avg,0.5853660228660228,0.5788888888888889,0.5431144019379314,14.8,0.37333333333333335
11,weighted avg,0.6172377622377623,0.6342857142857142,0.5945924663571722,14.8,0.37333333333333335
12,-,-,-,-,-,-
13,0,0.2785714285714286,0.37333333333333335,0.30806526806526807,5.4,0.37333333333333335
14,1,0.5781746031746031,0.47111111111111115,0.5076298589611283,9.4,0.37333333333333335
15,accuracy,0.43047619047619046,0.43047619047619046,0.43047619047619046,0.43047619047619046,0.37333333333333335
16,macro avg,0.4283730158730158,0.4222222222222222,0.4078475635131982,14.8,0.37333333333333335
17,weighted avg,0.4717619047619047,0.43047619047619046,0.4337854921136655,14.8,0.37333333333333335
18,-,-,-,-,-,-
19,0,0.36666666666666664,0.38,0.3618181818181818,5.4,0.38
20,1,0.639090909090909,0.6488888888888888,0.6373205741626794,9.4,0.38
21,accuracy,0.5523809523809524,0.5523809523809524,0.5523809523809524,0.5523809523809524,0.38
22,macro avg,0.5028787878787879,0.5144444444444444,0.49956937799043055,14.8,0.38
23,weighted avg,0.5381298701298701,0.5523809523809524,0.5370152654363181,14.8,0.38
