,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.4747619047619048,0.5971491228070176,0.3816450216450217,9.0,0.39714912280701753
2,1,0.7308333333333333,0.7522077922077922,0.7081962481962483,14.8,0.39714912280701753
3,accuracy,0.6365608465608465,0.6365608465608465,0.6365608465608465,0.6365608465608465,0.39714912280701753
4,macro avg,0.602797619047619,0.6746784575074048,0.5449206349206349,23.8,0.39714912280701753
5,weighted avg,0.759160052910053,0.6365608465608465,0.6531697931697932,23.8,0.39714912280701753
6,-,-,-,-,-,-
7,0,0.5047619047619047,0.4942982456140351,0.28158730158730155,9.0,0.2942982456140351
8,1,0.7057109557109558,0.806103896103896,0.7055874981571575,14.8,0.2942982456140351
9,accuracy,0.6044973544973545,0.6044973544973545,0.6044973544973545,0.6044973544973545,0.2942982456140351
10,macro avg,0.6052364302364303,0.6502010708589656,0.4935873998722296,23.8,0.2942982456140351
11,weighted avg,0.7723637473637475,0.6044973544973545,0.6007283755607505,23.8,0.2942982456140351
12,-,-,-,-,-,-
13,0,0.55,0.5883771929824562,0.3917805265852804,9.0,0.38837719298245615
14,1,0.7240808080808081,0.7306060606060607,0.6774035118862705,14.8,0.38837719298245615
15,accuracy,0.595026455026455,0.595026455026455,0.595026455026455,0.595026455026455,0.38837719298245615
16,macro avg,0.6370404040404041,0.6594916267942583,0.5345920192357754,23.8,0.38837719298245615
17,weighted avg,0.787073593073593,0.595026455026455,0.6173863082954499,23.8,0.38837719298245615
18,-,-,-,-,-,-
19,0,0.4533333333333333,0.4964912280701754,0.29507936507936505,9.0,0.2964912280701754
20,1,0.6884848484848485,0.7588744588744589,0.6814141414141414,14.8,0.2964912280701754
21,accuracy,0.5922751322751323,0.5922751322751323,0.5922751322751323,0.5922751322751323,0.2964912280701754
22,macro avg,0.5709090909090909,0.6276828434723172,0.48824675324675326,23.8,0.2964912280701754
23,weighted avg,0.7379100529100528,0.5922751322751323,0.6024242424242424,23.8,0.2964912280701754
