,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.36,0.21454545454545454,0.24571428571428572,5.4,0.21454545454545454
2,1,0.5926788897377133,0.6312409812409813,0.591924741924742,9.4,0.21454545454545454
3,accuracy,0.5024561403508772,0.5024561403508772,0.5024561403508772,0.5024561403508772,0.21454545454545454
4,macro avg,0.4763394448688566,0.4228932178932179,0.4188195138195138,14.8,0.21454545454545454
5,weighted avg,0.5901031991744066,0.5024561403508772,0.5119066898014266,14.8,0.21454545454545454
6,-,-,-,-,-,-
7,0,0.4,0.04,0.06666666666666667,5.4,0.04
8,1,0.6269047619047619,0.8914141414141413,0.7209157088122605,9.4,0.04
9,accuracy,0.5870614035087719,0.5870614035087719,0.5870614035087719,0.5870614035087719,0.04
10,macro avg,0.513452380952381,0.4657070707070707,0.3937911877394636,14.8,0.04
11,weighted avg,0.5994776524644946,0.5870614035087719,0.5057977414801371,14.8,0.04
12,-,-,-,-,-,-
13,0,0.48,0.5490909090909091,0.464093567251462,5.4,0.5490909090909091
14,1,0.7271428571428571,0.7414862914862914,0.7229399585921324,9.4,0.5490909090909091
15,accuracy,0.6526754385964912,0.6526754385964912,0.6526754385964912,0.6526754385964912,0.5490909090909091
16,macro avg,0.6035714285714286,0.6452886002886002,0.5935167629217972,14.8,0.5490909090909091
17,weighted avg,0.7008004385964912,0.6526754385964912,0.6611901856089499,14.8,0.5490909090909091
18,-,-,-,-,-,-
19,0,0.19444444444444445,0.17454545454545456,0.17217553688141923,5.4,0.17454545454545456
20,1,0.5966666666666667,0.6687590187590187,0.6096667352598211,9.4,0.17454545454545456
21,accuracy,0.49798245614035086,0.49798245614035086,0.49798245614035086,0.49798245614035086,0.17454545454545456
22,macro avg,0.39555555555555555,0.42165223665223667,0.3909211360706201,14.8,0.17454545454545456
23,weighted avg,0.498093149540518,0.49798245614035086,0.4809206833263303,14.8,0.17454545454545456
