,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.2855555555555555,0.33999999999999997,0.30115440115440106,5.4,0.33999999999999997
2,1,0.6072727272727272,0.5511111111111111,0.5680868838763575,9.4,0.33999999999999997
3,accuracy,0.4742857142857143,0.4742857142857143,0.4742857142857143,0.4742857142857143,0.33999999999999997
4,macro avg,0.44641414141414143,0.4455555555555555,0.43462064251537935,14.8,0.33999999999999997
5,weighted avg,0.49197017797017795,0.4742857142857143,0.4718331181489076,14.8,0.33999999999999997
6,-,-,-,-,-,-
7,0,0.6666666666666666,0.18,0.2587301587301587,5.4,0.18
8,1,0.6551282051282051,0.8955555555555555,0.7556709956709957,9.4,0.18
9,accuracy,0.6371428571428571,0.6371428571428571,0.6371428571428571,0.6371428571428571,0.18
10,macro avg,0.6608974358974359,0.5377777777777777,0.5072005772005772,14.8,0.18
11,weighted avg,0.660934065934066,0.6371428571428571,0.5784951556380127,14.8,0.18
12,-,-,-,-,-,-
13,0,1.0,0.0,0.0,5.4,0.0
14,1,0.6352380952380952,1.0,0.7765217391304348,9.4,0.0
15,accuracy,0.6352380952380952,0.6352380952380952,0.6352380952380952,0.6352380952380952,0.0
16,macro avg,0.8176190476190476,0.5,0.3882608695652174,14.8,0.0
17,weighted avg,0.7691927437641723,0.6352380952380952,0.4939544513457557,14.8,0.0
18,-,-,-,-,-,-
19,0,0.3571428571428571,0.32666666666666666,0.32828282828282823,5.4,0.32666666666666666
20,1,0.6233766233766234,0.6399999999999999,0.6263157894736842,9.4,0.32666666666666666
21,accuracy,0.5257142857142857,0.5257142857142857,0.5257142857142857,0.5257142857142857,0.32666666666666666
22,macro avg,0.4902597402597403,0.4833333333333333,0.4772993088782562,14.8,0.32666666666666666
23,weighted avg,0.5310492681921253,0.5257142857142857,0.5197227918280549,14.8,0.32666666666666666
